iter	Passed	Remaining
0	6	502
1	11	429
2	17	437
3	21	412
4	26	394
5	32	395
6	37	395
7	42	383
8	48	380
9	52	367
10	58	363
11	63	360
12	68	352
13	75	355
14	81	353
15	87	349
16	93	346
17	99	342
18	106	343
19	113	340
20	118	332
21	123	324
22	132	327
23	140	327
24	148	325
25	154	320
26	166	326
27	172	320
28	178	313
29	185	309
30	195	309
31	202	303
32	214	305
33	220	298
34	229	294
35	242	296
36	249	289
37	271	300
38	277	291
39	283	283
40	289	275
41	293	265
42	298	257
43	303	248
44	308	239
45	313	231
46	320	225
47	325	217
48	329	208
49	335	201
50	339	193
51	345	185
52	351	179
53	357	172
54	363	165
55	368	157
56	372	150
57	377	143
58	383	136
59	387	129
60	392	122
61	396	115
62	402	108
63	409	102
64	414	95
65	420	89
66	424	82
67	429	75
68	431	68
69	437	62
70	441	55
71	447	49
72	453	43
73	458	37
74	464	30
75	469	24
76	474	18
77	480	12
78	485	6
79	490	0
