iter	Passed	Remaining
0	145	11503
1	150	5876
2	154	3959
3	158	3019
4	163	2453
5	167	2064
6	170	1782
7	175	1578
8	180	1426
9	184	1291
10	188	1179
11	194	1103
12	198	1024
13	202	954
14	207	900
15	214	856
16	218	809
17	224	771
18	229	737
19	233	701
20	239	672
21	244	644
22	247	614
23	251	586
24	257	566
25	261	542
26	264	519
27	269	500
28	274	482
29	278	463
30	281	445
31	288	432
32	291	415
33	295	399
34	300	385
35	305	373
36	309	359
37	312	345
38	318	334
39	322	322
40	326	310
41	332	301
42	337	290
43	340	278
44	344	268
45	350	259
46	354	249
47	359	239
48	365	231
49	371	222
50	376	213
51	381	205
52	388	197
53	393	189
54	400	181
55	406	174
56	411	166
57	432	164
58	437	155
59	440	146
60	446	139
61	450	130
62	454	122
63	457	114
64	464	107
65	468	99
66	474	92
67	480	84
68	484	77
69	488	69
70	493	62
71	497	55
72	501	48
73	507	41
74	512	34
75	516	27
76	520	20
77	526	13
78	530	6
79	534	0
