iter	MultiClass
0	0.4685410503
1	0.2949314987
2	0.1961506794
3	0.1490080091
4	0.1168885519
5	0.09850274881
6	0.08320556662
7	0.07556122452
8	0.07121639951
9	0.06407773012
10	0.0616784806
11	0.05947401583
12	0.05787551508
13	0.05468316227
14	0.04935460488
15	0.0459638932
16	0.04473311244
17	0.04353284466
18	0.04214023285
19	0.0410264392
20	0.03872110918
21	0.03766240508
22	0.03713738355
23	0.03571665538
24	0.03521836102
25	0.03266544243
26	0.03108637732
27	0.03075539387
28	0.0288072348
29	0.0276029545
30	0.0264530471
31	0.02592505907
32	0.02508793415
33	0.02327024597
34	0.02221799912
35	0.02151663542
36	0.02095501565
37	0.02082272775
38	0.01978763198
39	0.01881211127
40	0.01856334277
41	0.01825226249
42	0.01812871713
43	0.01788574887
44	0.01728061566
45	0.01704358646
46	0.01690114639
47	0.01671899736
48	0.01637345133
49	0.01595497502
