iter	Passed	Remaining
0	3	185
1	8	200
2	15	238
3	21	245
4	28	258
5	34	255
6	38	238
7	47	251
8	52	237
9	58	232
10	62	222
11	69	218
12	74	212
13	77	200
14	80	188
15	83	178
16	86	168
17	95	170
18	101	166
19	106	160
20	110	152
21	113	144
22	116	136
23	119	129
24	124	124
25	127	117
26	130	111
27	133	104
28	136	98
29	140	93
30	143	88
31	146	82
32	149	76
33	151	71
34	156	67
35	159	62
36	162	57
37	165	52
38	168	47
39	171	42
40	174	38
41	177	33
42	180	29
43	184	25
44	187	20
45	190	16
46	194	12
47	196	8
48	201	4
49	204	0
